from,to,cost
180,180,0
180,183,3
180,210,2
180,332,9
180,372,6
180,441,9
180,461,11
180,498,10
180,500,10
180,528,11
180,581,19
180,589,14
180,597,13
180,601,13
180,604,15
180,626,14
180,678,21
180,682,18
180,699,17
180,725,17
180,753,18
180,777,21
180,812,21
180,847,21
180,938,26
183,180,3
183,183,0
183,210,5
183,332,12
183,372,6
183,441,8
183,461,13
183,498,11
183,500,10
183,528,13
183,581,22
183,589,16
183,597,13
183,601,13
183,604,13
183,626,14
183,678,23
183,682,20
183,699,16
183,725,17
183,753,18
183,777,23
183,812,22
183,847,22
183,938,27
210,180,2
210,183,5
210,210,0
210,332,7
210,372,5
210,441,9
210,461,9
210,498,9
210,500,9
210,528,10
210,581,17
210,589,13
210,597,12
210,601,13
210,604,15
210,626,13
210,678,19
210,682,17
210,699,17
210,725,16
210,753,17
210,777,20
210,812,19
210,847,20
210,938,24
332,180,9
332,183,12
332,210,7
332,332,0
332,372,8
332,441,13
332,461,4
332,498,7
332,500,9
332,528,7
332,581,10
332,589,8
332,597,12
332,601,15
332,604,17
332,626,10
332,678,12
332,682,11
332,699,18
332,725,15
332,753,13
332,777,14
332,812,15
332,847,16
332,938,19
372,180,6
372,183,6
372,210,5
372,332,8
372,372,0
372,441,5
372,461,7
372,498,4
372,500,4
372,528,6
372,581,16
372,589,9
372,597,7
372,601,8
372,604,10
372,626,8
372,678,17
372,682,14
372,699,12
372,725,11
372,753,12
372,777,17
372,812,16
372,847,15
372,938,20
441,180,9
441,183,8
441,210,9
441,332,13
441,372,5
441,441,0
441,461,12
441,498,7
441,500,5
441,528,9
441,581,20
441,589,13
441,597,6
441,601,5
441,604,5
441,626,9
441,678,20
441,682,17
441,699,8
441,725,9
441,753,12
441,777,19
441,812,17
441,847,16
441,938,21
461,180,11
461,183,13
461,210,9
461,332,4
461,372,7
461,441,12
461,461,0
461,498,5
461,500,7
461,528,3
461,581,8
461,589,4
461,597,8
461,601,12
461,604,15
461,626,7
461,678,9
461,682,7
461,699,15
461,725,11
461,753,9
461,777,10
461,812,11
461,847,12
461,938,15
498,180,10
498,183,11
498,210,9
498,332,7
498,372,4
498,441,7
498,461,5
498,498,0
498,500,2
498,528,2
498,581,13
498,589,5
498,597,4
498,601,7
498,604,10
498,626,4
498,678,13
498,682,10
498,699,10
498,725,7
498,753,8
498,777,12
498,812,11
498,847,11
498,938,16
500,180,10
500,183,10
500,210,9
500,332,9
500,372,4
500,441,5
500,461,7
500,498,2
500,500,0
500,528,4
500,581,15
500,589,7
500,597,3
500,601,5
500,604,8
500,626,4
500,678,15
500,682,11
500,699,9
500,725,7
500,753,8
500,777,14
500,812,12
500,847,12
500,938,17
528,180,11
528,183,13
528,210,10
528,332,7
528,372,6
528,441,9
528,461,3
528,498,2
528,500,4
528,528,0
528,581,11
528,589,3
528,597,5
528,601,9
528,604,12
528,626,3
528,678,11
528,682,7
528,699,12
528,725,7
528,753,7
528,777,10
528,812,9
528,847,10
528,938,14
581,180,19
581,183,22
581,210,17
581,332,10
581,372,16
581,441,20
581,461,8
581,498,13
581,500,15
581,528,11
581,581,0
581,589,8
581,597,16
581,601,20
581,604,23
581,626,13
581,678,3
581,682,5
581,699,22
581,725,16
581,753,13
581,777,7
581,812,9
581,847,12
581,938,12
589,180,14
589,183,16
589,210,13
589,332,8
589,372,9
589,441,13
589,461,4
589,498,5
589,500,7
589,528,3
589,581,8
589,589,0
589,597,8
589,601,12
589,604,15
589,626,5
589,678,7
589,682,4
589,699,14
589,725,8
589,753,6
589,777,7
589,812,7
589,847,8
589,938,11
597,180,13
597,183,13
597,210,12
597,332,12
597,372,7
597,441,6
597,461,8
597,498,4
597,500,3
597,528,5
597,581,16
597,589,8
597,597,0
597,601,4
597,604,7
597,626,3
597,678,15
597,682,11
597,699,6
597,725,4
597,753,6
597,777,13
597,812,11
597,847,10
597,938,15
601,180,13
601,183,13
601,210,13
601,332,15
601,372,8
601,441,5
601,461,12
601,498,7
601,500,5
601,528,9
601,581,20
601,589,12
601,597,4
601,601,0
601,604,3
601,626,7
601,678,19
601,682,15
601,699,3
601,725,5
601,753,9
