from,to,cost
180,180,0
180,183,3
180,210,2
180,332,9
180,343,5
180,370,6
180,372,6
180,441,9
180,461,11
180,469,9
180,497,10
180,498,10
180,500,10
180,516,19
180,528,11
180,557,13
180,559,13
180,581,19
180,589,14
180,597,13
180,601,13
180,604,15
180,626,14
180,629,14
180,668,17
180,678,21
180,682,18
180,699,17
180,723,17
180,725,17
180,753,18
180,777,21
180,812,21
180,816,20
180,847,21
180,852,21
180,938,26
183,180,3
183,183,0
183,210,5
183,332,12
183,343,5
183,370,7
183,372,6
183,441,8
183,461,13
183,469,9
183,497,11
183,498,11
183,500,10
183,516,21
183,528,13
183,557,15
183,559,14
183,581,22
183,589,16
183,597,13
183,601,13
183,604,13
183,626,14
183,629,14
183,668,15
183,678,23
183,682,20
183,699,16
183,723,17
183,725,17
183,753,18
183,777,23
183,812,22
183,816,21
183,847,22
183,852,21
183,938,27
210,180,2
210,183,5
210,210,0
210,332,7
210,343,6
210,370,5
210,372,5
210,441,9
210,461,9
210,469,8
210,497,9
210,498,9
210,500,9
210,516,17
210,528,10
210,557,12
210,559,11
210,581,17
210,589,13
210,597,12
210,601,13
210,604,15
210,626,13
210,629,13
210,668,17
210,678,19
210,682,17
210,699,17
210,723,16
210,725,16
210,753,17
210,777,20
210,812,19
210,816,19
210,847,20
210,852,20
210,938,24
332,180,9
332,183,12
332,210,7
332,332,0
332,343,11
332,370,6
332,372,8
332,441,13
332,461,4
332,469,9
332,497,7
332,498,7
332,500,9
332,516,10
332,528,7
332,557,7
332,559,7
332,581,10
332,589,8
332,597,12
332,601,15
332,604,17
332,626,10
332,629,12
332,668,18
332,678,12
332,682,11
332,699,18
332,723,13
332,725,15
332,753,13
332,777,14
332,812,15
332,816,15
332,847,16
332,852,17
332,938,19
343,180,5
343,183,5
343,210,6
343,332,11
343,343,0
343,370,5
343,372,3
343,441,3
343,461,10
343,469,4
343,497,7
343,498,7
343,500,5
343,516,19
343,528,9
343,557,12
343,559,10
343,581,19
343,589,12
343,597,8
343,601,8
343,604,9
343,626,10
343,629,9
343,668,11
343,678,20
343,682,17
343,699,11
343,723,12
343,725,12
343,753,14
343,777,19
343,812,18
343,816,16
343,847,17
343,852,16
343,938,23
370,180,6
370,183,7
370,210,5
370,332,6
370,343,5
370,370,0
370,372,2
370,441,7
370,461,5
370,469,4
370,497,4
370,498,4
370,500,4
370,516,14
370,528,5
370,557,7
370,559,6
370,581,14
370,589,8
370,597,7
370,601,9
370,604,12
370,626,8
370,629,8
370,668,13
370,678,15
370,682,12
370,699,13
370,723,11
370,725,11
370,753,12
370,777,15
370,812,15
370,816,14
370,847,15
370,852,15
370,938,19
372,180,6
372,183,6
372,210,5
372,332,8
372,343,3
372,370,2
372,372,0
372,441,5
372,461,7
372,469,3
372,497,5
372,498,4
372,500,4
372,516,16
372,528,6
372,557,9
372,559,7
372,581,16
372,589,9
372,597,7
372,601,8
372,604,10
372,626,8
372,629,8
372,668,12
372,678,17
372,682,14
372,699,12
372,723,11
372,725,11
372,753,12
372,777,17
372,812,16
372,816,14
372,847,15
372,852,15
372,938,20
441,180,9
441,183,8
441,210,9
441,332,13
441,343,3
441,370,7
441,372,5
441,441,0
441,461,12
441,469,4
441,497,8
441,498,7
441,500,5
441,516,21
441,528,9
441,557,12
441,559,10
441,581,20
441,589,13
441,597,6
441,601,5
441,604,5
441,626,9
441,629,7
441,668,7
441,678,20
441,682,17
441,699,8
441,723,10
441,725,9
441,753,12
441,777,19
441,812,17
441,816,15
441,847,16
441,852,13
441,938,21
461,180,11
461,183,13
461,210,9
461,332,4
461,343,10
461,370,5
461,372,7
461,441,12
461,461,0
461,469,8
461,497,4
461,498,5
461,500,7
461,516,9
461,528,3
461,557,3
461,559,3
461,581,8
461,589,4
461,597,8
461,601,12
461,604,15
461,626,7
461,629,9
461,668,16
461,678,9
461,682,7
461,699,15
461,723,10
461,725,11
461,753,9
461,777,10
461,812,11
461,816,11
461,847,12
461,852,13
461,938,15
469,180,9
469,183,9
469,210,8
469,332,9
469,343,4
469,370,4
469,372,3
469,441,4
469,461,8
469,469,0
469,497,4
469,498,3
469,500,1
