from,to,cost
180,180,0
180,183,3
180,210,2
180,332,9
180,372,6
180,441,9
180,461,11
180,498,10
180,500,10
180,528,11
180,581,19
180,589,14
180,597,13
180,601,13
180,604,15
180,626,14
180,678,21
180,682,18
180,699,17
180,725,17
180,753,18
180,777,21
180,812,21
180,847,21
180,938,26
180,22,5
180,53,4
180,182,2
180,298,10
180,311,5
180,312,5
180,336,6
180,366,8
180,397,9
180,400,8
180,410,9
180,424,14
180,431,9
180,439,8
180,464,9
180,465,9
180,487,16
180,494,11
180,495,11
180,497,10
180,498,10
180,499,10
180,510,14
180,521,15
180,524,13
180,527,12
180,528,11
180,529,11
180,531,11
180,535,11
180,559,13
180,560,12
180,562,12
180,580,20
180,586,16
180,593,13
180,594,13
180,601,13
180,607,17
180,610,22
180,613,20
180,627,14
180,628,14
180,634,15
180,653,16
180,658,15
180,665,15
180,676,22
180,680,20
180,683,18
180,695,16
180,696,16
180,716,18
180,718,18
180,721,17
180,727,17
180,733,19
180,744,21
180,754,18
180,758,18
180,774,23
180,804,25
180,806,24
180,816,20
180,821,20
180,837,25
180,840,24
180,842,23
180,843,22
180,846,21
180,850,21
180,872,25
180,880,22
180,1002,27
183,180,3
183,183,0
183,210,5
183,332,12
183,372,6
183,441,8
183,461,13
183,498,11
183,500,10
183,528,13
183,581,22
183,589,16
183,597,13
183,601,13
183,604,13
183,626,14
183,678,23
183,682,20
183,699,16
183,725,17
183,753,18
183,777,23
183,812,22
183,847,22
183,938,27
183,22,5
183,53,4
183,182,1
183,298,13
183,311,4
183,312,4
183,336,8
183,366,10
183,397,12
183,400,9
183,410,7
183,424,17
183,431,11
183,439,8
183,464,11
183,465,10
183,487,18
183,494,13
183,495,12
183,497,11
183,498,11
183,499,10
183,510,12
183,521,17
183,524,15
183,527,13
183,528,13
183,529,12
183,531,11
183,535,11
183,559,14
183,560,13
183,562,13
183,580,23
183,586,18
183,593,14
183,594,13
183,601,13
183,607,15
183,610,25
183,613,22
183,627,14
183,628,14
183,634,14
183,653,18
183,658,15
183,665,15
183,676,24
183,680,21
183,683,20
183,695,16
183,696,16
183,716,20
183,718,19
183,721,18
183,727,17
183,733,18
183,744,23
183,754,18
183,758,18
183,774,25
183,804,27
183,806,26
183,816,21
183,821,20
183,837,27
183,840,25
183,842,24
183,843,24
183,846,22
183,850,21
183,872,26
183,880,23
183,1002,29
210,180,2
210,183,5
210,210,0
210,332,7
210,372,5
210,441,9
210,461,9
210,498,9
210,500,9
210,528,10
210,581,17
210,589,13
210,597,12
210,601,13
210,604,15
210,626,13
210,678,19
210,682,17
210,699,17
210,725,16
210,753,17
210,777,20
210,812,19
210,847,20
210,938,24
210,22,7
210,53,5
210,182,4
210,298,8
210,311,5
210,312,6
210,336,4
210,366,6
210,397,7
210,400,6
210,410,10
210,424,12
210,431,7
210,439,8
210,464,8
210,465,8
210,487,14
210,494,9
210,495,9
210,497,9
210,498,9
210,499,9
210,510,15
210,521,13
210,524,11
210,527,10
210,528,10
210,529,10
210,531,10
210,535,11
210,559,11
210,560,11
210,562,11
210,580,18
210,586,14
210,593,12
210,594,12
210,601,13
210,607,17
210,610,20
210,613,18
210,627,13
210,628,13
210,634,15
210,653,14
210,658,14
210,665,15
210,676,20
210,680,18
210,683,16
210,695,15
210,696,16
210,716,17
210,718,16
210,721,16
210,727,16
210,733,19
210,744,19
210,754,17
210,758,17
210,774,21
210,804,23
210,806,22
210,816,19
210,821,19
210,837,23
210,840,22
210,842,21
210,843,21
210,846,20
210,850,20
210,872,23
210,880,21
210,1002,26
332,180,9
332,183,12
332,210,7
332,332,0
332,372,8
332,441,13
332,461,4
332,498,7
332,500,9
332,528,7
332,581,10
332,589,8
332,597,12
332,601,15
332,604,17
332,626,10
332,678,12
332,682,11
332,699,18
332,725,15
332,753,13
332,777,14
332,812,15
332,847,16
332,938,19
332,22,14
332,53,12
332,182,11
332,298,2
332,311,11
332,312,12
332,336,4
332,366,2
332,397,2
332,400,4
332,410,14
332,424,5
332,431,4
332,439,11
332,464,5
332,465,6
332,487,7
332,494,5
332,495,5
332,497,7
332,498,7
332,499,8
332,510,18
332,521,6
