from,to,cost
1,1,0
1,2,8473
1,3,14838
1,4,19010
1,5,11149
1,6,5106
1,7,14074
1,8,14262
1,9,15661
1,10,15282
1,11,6737
1,12,7823
1,13,9712
1,14,11721
1,15,4895
1,16,2903
1,17,10076
1,18,6682
1,19,16902
1,20,13292
1,21,4569
1,22,14433
1,23,7144
1,24,8233
1,25,8556
2,1,8473
2,2,0
2,3,15882
2,4,26655
2,5,19610
2,6,3954
2,7,22412
2,8,22671
2,9,13886
2,10,15405
2,11,10141
2,12,16239
2,13,16912
2,14,17926
2,15,13359
2,16,8400
2,17,11846
2,18,2942
2,19,24855
2,20,21273
2,21,11685
2,22,19364
2,23,12024
2,24,14411
2,25,5817
3,1,14838
3,2,15882
3,3,0
3,4,19359
3,5,19327
3,6,13302
3,7,19748
3,8,23552
3,9,5054
3,10,1672
3,11,8107
3,12,18867
3,13,12358
3,14,10251
3,15,15986
3,16,11937
3,17,4781
3,18,17176
3,19,19268
3,20,16983
3,21,11952
3,22,8053
3,23,8442
3,24,9809
3,25,10082
4,1,19010
4,2,26655
4,3,19359
4,4,0
4,5,10318
4,6,22705
4,7,7033
4,8,12111
4,9,24060
4,10,21000
4,11,17469
4,12,13984
4,13,9767
4,14,9746
4,15,14767
4,16,18259
4,17,18313
4,18,25571
4,19,2810
4,20,5921
4,21,14989
4,22,11364
4,23,15311
4,24,12594
4,25,23302
5,1,11149
5,2,19610
5,3,19327
5,4,10318
5,5,0
5,6,15994
5,7,3514
5,8,4225
5,9,22603
5,10,20589
5,11,13341
5,12,4003
5,13,7124
5,14,9962
5,15,6253
5,16,11872
5,17,15924
5,18,17711
5,19,7562
5,20,4925
5,21,9036
5,22,13682
5,23,11650
5,24,9559
5,25,18296
6,1,5106
6,2,3954
6,3,13302
6,4,22705
6,5,15994
6,6,0
6,7,18634
6,8,19320
6,9,12499
6,10,13183
6,11,6481
6,12,12895
6,13,12959
6,14,14034
6,15,9806
6,16,4463
6,17,8792
6,18,3937
6,19,20939
6,20,17371
6,21,7753
6,22,15698
6,23,8200
6,24,10489
6,25,4261
7,1,14074
7,2,22412
7,3,19748
7,4,7033
7,5,3514
7,6,18634
7,7,0
7,8,5392
7,9,23603
7,10,21180
7,11,14983
7,12,7485
7,13,7502
7,14,9634
7,15,9259
7,16,14289
7,17,17046
7,18,20741
7,19,4224
7,20,2981
7,21,11143
7,22,12995
7,23,13020
7,24,10500
7,25,20409
8,1,14262
8,2,22671
8,3,23552
8,4,12111
8,5,4225
8,6,19320
8,7,5392
8,8,0
8,9,26773
8,10,24811
8,11,17388
8,12,6440
8,13,11310
8,14,14046
8,15,9572
8,16,15510
8,17,20093
8,18,20450
8,19,9357
8,20,8109
8,21,12964
8,22,17696
8,23,15796
8,24,13780
8,25,22042
9,1,15661
9,2,13886
9,3,5054
9,4,24060
9,5,22603
9,6,12499
9,7,23603
9,8,26773
9,9,0
9,10,3440
9,11,9657
9,12,21352
9,13,16101
9,14,14559
9,15,18166
9,16,12905
9,17,6680
9,18,15917
9,19,23688
9,20,21044
9,21,14139
9,22,12939
9,23,10982
9,24,13157
9,25,8381
10,1,15282
10,2,15405
10,3,1672
10,4,21000
10,5,20589
10,6,13183
10,7,21180
10,8,24811
10,9,3440
10,10,0
10,11,8661
10,12,19884
10,13,13729
10,14,11780
10,15,16887
10,16,12386
10,17,5280
10,18,16957
10,19,20848
10,20,18466
10,21,12813
10,22,9717
10,23,9360
10,24,11030
10,25,9596
11,1,6737
11,2,10141
11,3,8107
11,4,17469
11,5,13341
11,6,6481
11,7,14983
11,8,17388
11,9,9657
11,10,8661
11,11,0
11,12,11713
11,13,7922
11,14,8041
11,15,8508
11,16,3846
11,17,3386
11,18,10328
11,19,16212
11,20,12932
11,21,4508
11,22,9238
11,23,2157
11,24,4891
11,25,5835
12,1,7823
12,2,16239
12,3,18867
12,4,13984
12,5,4003
12,6,12895
12,7,7485
12,8,6440
12,9,21352
12,10,19884
12,11,11713
12,12,0
12,13,7990
12,14,11041
12,15,3305
12,16,9269
12,17,14789
12,18,14093
12,19,11332
12,20,8179
12,21,7213
12,22,14769
12,23,10531
12,24,9266
12,25,15812
13,1,9712
13,2,16912
13,3,12358
13,4,9767
13,5,7124
13,6,12959
13,7,7502
13,8,11310
13,9,16101
13,10,13729
13,11,7922
13,12,7990
13,13,0
13,14,3056
13,15,6635
13,16,8541
13,17,9585
13,18,16008
13,19,8295
13,20,5071
13,21,5335
13,22,6814
13,23,5804
13,24,3103
13,25,13684
14,1,11721
14,2,17926
14,3,10251
14,4,9746
14,5,9962
14,6,14034
14,7,9634
14,8,14046
14,9,14559
14,10,11780
14,11,8041
14,12,11041
14,13,3056
14,14,0
14,15,9444
14,16,9914
14,17,8568
14,18,17489
14,19,9129
14,20,6768
14,21,7152
14,22,3771
14,23,5954
14,24,3598
14,25,13825
15,1,4895
15,2,13359
15,3,15986
15,4,14767
15,5,6253
15,6,9806
15,7,9259
15,8,9572
15,9,18166
15,10,16887
15,11,8508
15,12,3305
15,13,6635
15,14,9444
15,15,0
15,16,5978
15,17,11695
15,18,11502
15,19,12417
15,20,8872
15,21,4078
15,22,12933
15,23,7549
15,24,6849
15,25,12525
16,1,2903
16,2,8400
16,3,11937
16,4,18259
16,5,11872
16,6,4463
16,7,14289
16,8,15510
16,9,12905
16,10,12386
16,11,3846
16,12,9269
16,13,8541
16,14,9914
16,15,5978
16,16,0
16,17,7173
16,18,7582
16,19,16477
16,20,12916
16,21,3290
16,22,12140
16,23,4573
16,24,6315
16,25,6547
17,1,10076
17,2,11846
17,3,4781
17,4,18313
17,5,15924
17,6,8792
17,7,17046
17,8,20093
17,9,6680
17,10,5280
17,11,3386
17,12,14789
17,13,9585
17,14,8568
17,15,11695
17,16,7173
17,17,0
17,18,12725
17,19,17540
17,20,14624
17,21,7619
17,22,8281
17,23,4313
17,24,6548
17,25,6369
18,1,6682
18,2,2942
18,3,17176
18,4,25571
18,5,17711
18,6,3937
18,7,20741
18,8,20450
18,9,15917
18,10,16957
18,11,10328
18,12,14093
18,13,16008
18,14,17489
18,15,11502
18,16,7582
18,17,12725
18,18,0
18,19,23551
18,20,19940
18,21,10672
18,22,19460
18,23,11867
18,24,13893
18,25,7544
19,1,16902
19,2,24855
19,3,19268
19,4,2810
19,5,7562
19,6,20939
19,7,4224
19,8,9357
19,9,23688
19,10,20848
19,11,16212
19,12,11332
19,13,8295
19,14,9129
19,15,12417
19,16,16477
19,17,17540
19,18,23551
19,19,0
19,20,3611
19,21,13188
19,22,11597
19,23,14078
19,24,11344
19,25,21976
20,1,13292
20,2,21273
20,3,16983
20,4,5921
20,5,4925
20,6,17371
20,7,2981
20,8,8109
20,9,21044
20,10,18466
20,11,12932
20,12,8179
20,13,5071
20,14,6768
20,15,8872
20,16,12916
20,17,14624
20,18,19940
20,19,3611
20,20,0
20,21,9635
20,22,10025
20,23,10850
20,24,8174
20,25,18602
21,1,4569
21,2,11685
21,3,11952
21,4,14989
21,5,9036
21,6,7753
21,7,11143
21,8,12964
21,9,14139
21,10,12813
21,11,4508
21,12,7213
21,13,5335
21,14,7152
21,15,4078
21,16,3290
21,17,7619
21,18,10672
21,19,13188
21,20,9635
21,21,0
21,22,10002
21,23,3515
21,24,3707
21,25,9310
22,1,14433
22,2,19364
22,3,8053
22,4,11364
22,5,13682
22,6,15698
22,7,12995
22,8,17696
22,9,12939
22,10,9717
22,11,9238
22,12,14769
22,13,6814
22,14,3771
22,15,12933
22,16,12140
22,17,8281
22,18,19460
22,19,11597
22,20,10025
22,21,10002
22,22,0
22,23,7615
22,24,6318
22,25,14449
23,1,7144
23,2,12024
23,3,8442
23,4,15311
23,5,11650
23,6,8200
23,7,13020
23,8,15796
23,9,10982
23,10,9360
23,11,2157
23,12,10531
23,13,5804
23,14,5954
23,15,7549
23,16,4573
23,17,4313
23,18,11867
23,19,14078
23,20,10850
23,21,3515
23,22,7615
23,23,0
23,24,2739
23,25,7991
24,1,8233
24,2,14411
24,3,9809
24,4,12594
24,5,9559
24,6,10489
24,7,10500
24,8,13780
24,9,13157
24,10,11030
24,11,4891
24,12,9266
24,13,3103
24,14,3598
24,15,6849
24,16,6315
24,17,6548
24,18,13893
24,19,11344
24,20,8174
24,21,3707
24,22,6318
24,23,2739
24,24,0
24,25,10712
25,1,8556
25,2,5817
25,3,10082
25,4,23302
25,5,18296
25,6,4261
25,7,20409
25,8,22042
25,9,8381
25,10,9596
25,11,5835
25,12,15812
25,13,13684
25,14,13825
25,15,12525
25,16,6547
25,17,6369
25,18,7544
25,19,21976
25,20,18602
25,21,9310
25,22,14449
25,23,7991
25,24,10712
25,25,0
